time	susceptible	infected	recovered	alive	dead
0	1799	1	0	1800	0
1	1796	4	0	1800	0
2	1790	10	0	1800	0
3	1756	44	0	1800	0
4	1596	204	0	1800	0
5	1224	576	0	1800	0
6	557	1243	0	1800	0
7	194	1606	0	1800	0
8	54	1746	0	1800	0
9	12	1788	0	1800	0
10	1	1799	0	1800	0
11	0	1800	0	1800	0
12	0	1800	0	1800	0
13	0	1798	2	1800	0
14	0	1793	7	1800	0
15	0	1777	23	1800	0
16	0	1683	115	1798	2
17	0	1440	352	1792	8
18	0	923	859	1782	18
19	0	384	1381	1765	35
20	0	150	1613	1763	37
21	0	67	1695	1762	38
22	0	50	1712	1762	38
23	0	55	1707	1762	38
24	0	65	1697	1762	38
25	0	73	1689	1762	38
26	0	78	1684	1762	38
27	0	91	1671	1762	38
28	0	104	1658	1762	38
29	0	114	1647	1761	39
30	0	116	1645	1761	39
31	0	110	1651	1761	39
32	0	110	1651	1761	39
33	0	116	1645	1761	39
34	0	118	1643	1761	39
35	0	121	1640	1761	39
36	0	123	1638	1761	39
37	0	115	1646	1761	39
38	0	121	1640	1761	39
39	0	123	1638	1761	39
40	0	114	1647	1761	39
41	0	112	1648	1760	40
42	0	110	1650	1760	40
43	0	117	1643	1760	40
44	0	116	1644	1760	40
45	0	115	1645	1760	40
46	0	111	1649	1760	40
47	0	110	1650	1760	40
48	0	106	1654	1760	40
49	0	100	1659	1759	41
50	0	106	1653	1759	41
51	0	100	1659	1759	41
52	0	96	1663	1759	41
53	0	97	1662	1759	41
54	0	94	1665	1759	41
55	0	92	1667	1759	41
56	0	90	1668	1758	42
57	0	84	1674	1758	42
58	0	82	1676	1758	42
59	0	75	1683	1758	42
60	0	78	1680	1758	42
61	0	78	1680	1758	42
62	0	76	1682	1758	42
63	0	72	1686	1758	42
64	0	70	1688	1758	42
65	0	76	1682	1758	42
66	0	76	1682	1758	42
67	0	75	1683	1758	42
68	0	69	1689	1758	42
69	0	67	1691	1758	42
70	0	69	1689	1758	42
71	0	73	1685	1758	42
72	0	75	1683	1758	42
73	0	69	1689	1758	42
74	0	65	1693	1758	42
75	0	66	1692	1758	42
76	0	66	1692	1758	42
77	0	59	1699	1758	42
78	0	60	1698	1758	42
79	0	60	1698	1758	42
80	0	63	1695	1758	42
81	0	66	1692	1758	42
82	0	69	1688	1757	43
83	0	74	1683	1757	43
84	0	82	1675	1757	43
85	0	90	1667	1757	43
86	0	100	1657	1757	43
87	0	101	1656	1757	43
88	0	105	1652	1757	43
89	0	106	1651	1757	43
90	0	111	1646	1757	43
91	0	115	1642	1757	43
92	0	114	1643	1757	43
93	0	115	1642	1757	43
94	0	120	1637	1757	43
95	0	118	1638	1756	44
96	0	114	1642	1756	44
97	0	116	1640	1756	44
98	0	119	1637	1756	44
99	0	116	1640	1756	44
100	0	121	1635	1756	44
