topology	left_rate	deadlock_probability	mean_deadlock_time	mean_eaters	mean_max_eaters
classical	0.3	0.325	41.88173368479082	0.6409920598382098	1.95
arbiter	0.3	0.0		0.6731652894697342	2.0
classical	0.5	0.8	33.19764461431677	0.5652760086492707	1.875
arbiter	0.5	0.0		0.6183115495244083	1.95
classical	0.7	0.975	18.773565363265728	0.5006313620235391	1.6
arbiter	0.7	0.0		0.5427584952997162	1.925
classical	0.9	1.0	15.04514342581345	0.43120363706712384	1.45
arbiter	0.9	0.0		0.5069676498446546	1.925
classical	1.1	1.0	9.938701304661354	0.41865021248244927	1.4
arbiter	1.1	0.0		0.47898642008658426	1.825
classical	1.3	1.0	7.440773183399533	0.37792478354978354	1.25
arbiter	1.3	0.0		0.4594570840292186	1.65
